Player Name,Position,Team,League,Minutes,Passes attempted,xPass Rating,Average pass difficulty
Davy Pröpper,Mid,Brighton,Premier League,3303.2,1122,0.9829938916194249,85.1377005347596
Markus Suttner,Def,Brighton,Premier League,1253.1333333333334,424,1.0025818119864214,71.98396226415102
Pascal Groß,FW,Brighton,Premier League,3054.0333333333338,1036,0.9693949899515408,78.96100386100397
Bruno,Def,Brighton,Premier League,2140.5333333333333,919,1.031326543766918,79.34254624591965
Shane Duffy,Def,Brighton,Premier League,3498.4666666666667,1014,0.9946918561652166,84.27376725838268
Lewis Dunk,Def,Brighton,Premier League,3636.116666666667,1227,1.0005166195825572,82.19062754686244
Anthony Knockaert,Mid,Brighton,Premier League,2553.6833333333348,873,0.9915545479118056,83.06116838487969
Dale Stephens,Mid,Brighton,Premier League,3442.666666666666,1514,1.001575658871772,86.05990752972265
Glenn Murray,FW,Brighton,Premier League,2320.183333333333,331,0.8758812219611194,84.85196374622357
Beram Kayal,Mid,Brighton,Premier League,816.8666666666667,187,1.0292650169138369,85.20695187165774
Solly March,Mid,Brighton,Premier League,1989.2333333333331,572,1.0089034567729025,75.20454545454555
Tomer Hemed,FW,Brighton,Premier League,903.2333333333332,131,0.9393836599431152,87.76259541984733
Isaiah Brown,FW,Brighton,Premier League,325.65,102,1.0210548552918812,83.53529411764703
Gaëtan Bong,Def,Brighton,Premier League,2373.850000000001,627,0.9878118537422458,72.49441786283886
Ezequiel Schelotto,Def,Brighton,Premier League,1406.1333333333334,347,0.9871090865219388,78.82593659942368
José Heriberto Izquierdo,Mid,Brighton,Premier League,2108.2666666666664,399,0.9958645251959928,80.78521303258145
Luis Hernández,Def,Leicester,Premier League,351.4333333333333,138,1.0064923288963044,79.91594202898548
Daniel Amartey,Mid,Leicester,Premier League,2335.866666666667,821,1.0033222685257783,86.19354445797825
Yohan Benalouane,Def,Leicester,Premier League,1070.7666666666667,167,0.9084185478165808,74.48622754491011
Robert Huth,Def,Leicester,Premier League,3122.366666666667,487,0.9697122347459224,81.52464065708422
Ben Chilwell,Def,Leicester,Premier League,2779.0000000000005,999,1.0071613093097005,76.52902902902913
Marc Albrighton,Mid,Leicester,Premier League,5246.033333333333,1778,0.9384860444588736,66.52170978627674
Daniel Drinkwater,Mid,Leicester,Premier League,2632.1833333333343,1477,0.9753250129580046,82.81530128639147
Andy King,Mid,Leicester,Premier League,2133.5666666666666,713,0.967106777530663,84.69326788218811
Demarai Gray,Mid,Leicester,Premier League,2995.833333333333,837,0.9883410057071224,76.64026284348874
Islam Slimani,FW,Leicester,Premier League,1669.2833333333335,371,0.9405838494565852,86.25714285714295
Jamie Vardy,FW,Leicester,Premier League,6401.5666666666675,689,0.8993074213385867,77.78925979680703
Riyad Mahrez,Mid,Leicester,Premier League,6119.983333333334,2042,0.996341394865598,79.28124387855051
Leonardo Ulloa,FW,Leicester,Premier League,551.7166666666667,139,0.9825940482874788,87.12805755395684
Ahmed Musa,FW,Leicester,Premier League,838.6499999999999,181,0.9520715111490596,73.11767955801103
Danny Simpson,Def,Leicester,Premier League,5627.166666666668,1574,0.999616938147558,76.45876747141054
Wes Morgan,Def,Leicester,Premier League,5599.450000000002,1137,1.0012270356862858,82.57238346525963
Christian Fuchs,Def,Leicester,Premier League,5392.950000000002,1762,1.0168738458061957,74.34148694665164
